Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,7.0,0,1800.0,-1,7.0,-1.0,1,320453.07002,0,7.0,SAT,everything ok,7.432,
2,1,3,7.0,0,1800.0,-1,7.0,-1.0,1,246799.28,1,14.0,SAT,everything ok,7.726,
3,2,3,6.0,0,10.102600714537502,-1,6.0,-1.0,1,6075955.9,1,20.0,SAT,configuration crashed; runnning SBS,6.216,
4,2,5,6.0,0,11.403900150555373,-1,6.0,-1.0,1,1.03749752002E7,1,26.0,SAT,configuration crashed; runnning SBS,6.448,
5,2,9,5.0,0,1800.0,-1,5.0,-1.0,1,1.17626634E7,1,31.0,SAT,configuration crashed; runnning SBS,6.046,
6,1,9,8.0,0,4.905200487348438,-1,8.0,-1.0,1,1.17626634E7,1,39.0,SAT,configuration crashed; runnning SBS,8.987,
7,3,3,12.0,0,8.802600138235093,-1,12.0,-1.0,1,6075955.9,1,51.0,SAT,configuration crashed; runnning SBS,12.949,
8,2,6,6.0,0,1800.0,-1,6.0,-1.0,1,9476049.7,2,57.0,SAT,configuration crashed; runnning SBS,6.039,
9,1,6,6.0,0,2.306500373753905,-1,6.0,-1.0,1,9476049.7,2,63.0,SAT,configuration crashed; runnning SBS,7.04,
10,4,9,2.0,0,7.502600651580096,-1,2.0,-1.0,1,1176266.34,2,65.0,SAT,everything ok,3.022,
11,4,3,2.0,0,20.505200865092874,-1,2.0,-1.0,1,607595.59,2,67.0,SAT,everything ok,2.888,
12,4,5,2.0,0,17.905200802135468,-1,2.0,-1.0,1,1037497.52002,2,69.0,SAT,everything ok,3.02,
13,4,6,2.0,0,23.106500877413158,-1,2.0,-1.0,1,947604.97,2,71.0,SAT,everything ok,2.902,
14,4,8,2.0,0,1800.0,-1,2.0,-1.0,1,1195912.66,2,73.0,SAT,everything ok,2.883,
15,1,8,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,73.0,TIMEOUT,,0.0,
16,3,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,73.0,TIMEOUT,,0.0,
17,4,4,3.0,0,1800.0,-1,3.0,-1.0,1,1393350.86001,3,76.0,SAT,everything ok,3.145,
18,1,4,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,76.0,TIMEOUT,,0.0,
19,5,8,2.0,0,3.60260001232028,-1,2.0,-1.0,1,1195912.66,3,78.0,SAT,everything ok,2.8,
20,5,5,2.0,0,6.205201063650847,-1,2.0,-1.0,1,1037497.52002,3,80.0,SAT,everything ok,3.114,
21,5,6,5.0,0,3.6052010006934405,-1,5.0,-1.0,1,947604.97,3,85.0,SAT,everything ok,5.169,
22,4,1,3.0,0,1800.0,-1,3.0,-1.0,1,890045.4,3,88.0,SAT,everything ok,3.088,
23,1,1,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,88.0,TIMEOUT,,0.0,
24,6,3,8.0,0,3.60260001232028,-1,8.0,-1.0,1,6075955.9,3,96.0,SAT,configuration crashed; runnning SBS,8.165,
25,4,2,2.0,0,1800.0,-1,2.0,-1.0,1,680602.4,4,98.0,SAT,everything ok,2.992,
26,1,2,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,98.0,TIMEOUT,,0.0,
27,7,3,7.0,0,3.60260001232028,-1,7.0,-1.0,1,6075955.9,4,105.0,SAT,configuration crashed; runnning SBS,7.925,
28,4,10,3.0,0,1800.0,-1,3.0,-1.0,1,680717.87,4,108.0,SAT,everything ok,3.186,
29,1,10,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,108.0,TIMEOUT,,0.0,
30,8,9,7.0,0,3.60260001232028,-1,7.0,-1.0,1,1.17626634E7,4,115.0,SAT,configuration crashed; runnning SBS,8.034,
31,4,7,3.0,0,1800.0,-1,3.0,-1.0,1,898557.71,5,118.0,SAT,everything ok,3.299,
32,1,7,0.0,1,0.0,-1,0.0,0.0,0,0.0,5,118.0,TIMEOUT,,0.0,
33,9,6,5.0,0,3.60260001232028,-1,5.0,-1.0,1,9476049.7,5,123.0,SAT,configuration crashed; runnning SBS,5.471,
34,10,3,8.0,0,3.60260001232028,-1,8.0,-1.0,1,6075955.9,5,131.0,SAT,configuration crashed; runnning SBS,8.063,
35,11,8,2.0,0,3.60260001232028,-1,2.0,-1.0,1,1195912.66,6,133.0,SAT,everything ok,2.974,
36,11,1,2.0,0,7.505200550305844,-1,2.0,-1.0,1,890045.4,6,135.0,SAT,everything ok,2.886,
37,11,9,2.0,0,4.905200487348438,-1,2.0,-1.0,1,1176266.34,6,137.0,SAT,everything ok,2.684,
38,11,4,2.0,0,15.310400536629558,-1,2.0,-1.0,1,1393350.86001,6,139.0,SAT,everything ok,2.966,
39,11,7,2.0,0,12.710400473672152,-1,2.0,-1.0,1,898557.71,6,141.0,SAT,everything ok,2.922,
40,11,2,2.0,0,10.110400410714746,-1,2.0,-1.0,1,680602.4,6,143.0,SAT,everything ok,2.986,
41,11,5,2.0,0,7.51040034775734,-1,2.0,-1.0,1,1037497.52002,6,145.0,SAT,everything ok,2.796,
42,11,10,2.0,0,14.014300898063183,-1,2.0,-1.0,1,680717.87,6,147.0,SAT,everything ok,2.96,
43,11,3,2.0,0,11.414300835105777,-1,2.0,-1.0,1,607595.59,6,149.0,SAT,everything ok,2.892,
44,11,6,2.0,0,8.814300772148371,-1,2.0,-1.0,1,947604.97,6,151.0,SAT,everything ok,2.87,
45,12,2,2.0,0,3.60260001232028,-1,2.0,-1.0,1,680602.4,6,153.0,SAT,everything ok,2.992,
46,12,1,2.0,0,6.205201063650847,-1,2.0,-1.0,1,890045.4,6,155.0,SAT,everything ok,2.989,
47,12,7,2.0,0,3.6052010006934405,-1,2.0,-1.0,1,898557.71,6,157.0,SAT,everything ok,2.867,
48,12,5,2.0,0,11.410400987017155,-1,2.0,-1.0,1,1037497.52002,6,159.0,SAT,everything ok,2.894,
49,12,6,2.0,0,8.81040092405975,-1,2.0,-1.0,1,947604.97,6,161.0,SAT,everything ok,2.999,
50,12,9,3.0,0,6.210400861102343,-1,3.0,-1.0,1,1176266.34,6,164.0,SAT,everything ok,3.111,
51,12,10,4.0,0,2.310400221842527,-1,4.0,-1.0,1,680717.87,6,168.0,SAT,everything ok,4.188,
52,13,5,2.0,0,3.60260001232028,-1,2.0,-1.0,1,1037497.52002,7,170.0,SAT,everything ok,2.759,
