Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,3.0,0,1800.0,-1,3.0,-1.0,1,216.245,0,3.0,SAT,everything ok,3.462,
2,1,3,3.0,0,1800.0,-1,3.0,-1.0,1,12033.989,1,6.0,SAT,everything ok,3.389,
3,2,3,0.0,0,4.90260058862269,-1,0.0,-1.0,1,120588.64,1,6.0,SAT,configuration crashed; runnning SBS,0.982,
4,2,5,0.0,0,8.803900087597967,-1,0.0,-1.0,1,120324.28,1,6.0,SAT,configuration crashed; runnning SBS,0.982,
5,2,9,0.0,0,1800.0,-1,0.0,-1.0,1,121439.73,1,6.0,SAT,configuration crashed; runnning SBS,0.982,
6,1,9,0.0,1,0.0,-1,0.0,0.0,0,0.0,1,6.0,TIMEOUT,,0.0,
7,3,3,0.0,0,1.0026010390102864,-1,0.0,-1.0,1,120588.64,1,6.0,SAT,configuration crashed; runnning SBS,1.031,
8,3,9,1.0,0,1.0052009377360345,-1,1.0,-1.0,1,121439.73,1,7.0,SAT,configuration crashed; runnning SBS,1.107,
9,2,6,0.0,0,1800.0,-1,0.0,-1.0,1,120471.0,2,7.0,SAT,configuration crashed; runnning SBS,1.007,
10,1,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,7.0,TIMEOUT,,0.0,
11,4,3,0.0,0,1.0026010390102864,-1,0.0,-1.0,1,120588.64,2,7.0,SAT,configuration crashed; runnning SBS,1.007,
12,4,5,1.0,0,1.0052009377360345,-1,1.0,-1.0,1,120324.28,2,8.0,SAT,configuration crashed; runnning SBS,1.082,
13,2,8,0.0,0,1800.0,-1,0.0,-1.0,1,2571.31,2,8.0,SAT,configuration crashed; runnning SBS,0.982,
14,1,8,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,8.0,TIMEOUT,,0.0,
15,3,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,8.0,TIMEOUT,,0.0,
16,2,4,1.0,0,1800.0,-1,1.0,-1.0,1,120365.6,3,9.0,SAT,configuration crashed; runnning SBS,1.082,
17,1,4,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,9.0,TIMEOUT,,0.0,
18,5,8,0.0,0,1.0026010390102864,-1,0.0,-1.0,1,2571.31,3,9.0,SAT,configuration crashed; runnning SBS,0.982,
19,5,5,1.0,0,1.0052009377360345,-1,1.0,-1.0,1,120324.28,3,10.0,SAT,configuration crashed; runnning SBS,1.057,
20,2,1,0.0,0,1800.0,-1,0.0,-1.0,1,120075.88,3,10.0,SAT,configuration crashed; runnning SBS,0.957,
21,1,1,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,10.0,TIMEOUT,,0.0,
22,6,3,3.0,0,1.0026010390102864,-1,3.0,-1.0,1,120588.64,3,13.0,SAT,configuration crashed; runnning SBS,3.645,
23,2,2,1.0,0,1800.0,-1,1.0,-1.0,1,120270.59,4,14.0,SAT,configuration crashed; runnning SBS,1.082,
24,1,2,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,14.0,TIMEOUT,,0.0,
25,7,3,0.0,0,1.0026010390102864,-1,0.0,-1.0,1,12058.864,4,14.0,SAT,everything ok,0.58,
26,7,2,0.0,0,3.6052010006934405,-1,0.0,-1.0,1,12027.059,4,14.0,SAT,everything ok,0.555,
27,7,4,0.0,0,3.6052010006934405,-1,0.0,-1.0,1,12036.56,4,14.0,SAT,everything ok,0.555,
28,7,1,0.0,0,3.6104007981449366,-1,0.0,-1.0,1,12007.588,4,14.0,SAT,everything ok,0.555,
29,7,6,0.0,0,3.6104007981449366,-1,0.0,-1.0,1,12047.1,4,14.0,SAT,everything ok,0.556,
30,7,5,0.0,0,3.6104007981449366,-1,0.0,-1.0,1,12032.428,4,14.0,SAT,everything ok,0.555,
31,7,8,0.0,0,3.6104007981449366,-1,0.0,-1.0,1,257.131,4,14.0,SAT,everything ok,0.58,
32,7,9,0.0,0,3.6117007475078107,-1,0.0,-1.0,1,12143.973,4,14.0,SAT,everything ok,0.555,
33,7,10,0.0,0,1800.0,-1,0.0,-1.0,1,24450.004,4,14.0,SAT,everything ok,0.58,
34,1,10,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,14.0,TIMEOUT,,0.0,
35,8,5,0.0,0,1.0026010390102864,-1,0.0,-1.0,1,246.575,4,14.0,SAT,everything ok,0.757,
36,8,10,0.0,0,1.0052009377360345,-1,0.0,-1.0,1,24440.914,4,14.0,SAT,everything ok,0.757,
37,8,9,0.0,0,1.0052009377360345,-1,0.0,-1.0,1,28.866,4,14.0,SAT,everything ok,0.756,
38,8,8,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,33.605,4,14.0,SAT,everything ok,0.756,
39,8,3,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,155.082,4,14.0,SAT,everything ok,0.756,
40,8,6,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,118.151,4,14.0,SAT,everything ok,0.756,
41,8,4,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,54.1,4,14.0,SAT,everything ok,0.782,
42,8,1,0.0,0,1.0130006339132787,-1,0.0,-1.0,1,12001.52,4,14.0,SAT,everything ok,0.781,
43,8,2,0.0,0,1.0130006339132787,-1,0.0,-1.0,1,36.033,4,14.0,SAT,everything ok,0.781,
44,7,7,0.0,0,1800.0,-1,0.0,-1.0,1,24147.338,5,14.0,SAT,everything ok,0.58,
45,1,7,0.0,1,0.0,-1,0.0,0.0,0,0.0,5,14.0,TIMEOUT,,0.0,
46,9,5,0.0,0,1.0026010390102864,-1,0.0,-1.0,1,120324.28,5,14.0,SAT,configuration crashed; runnning SBS,1.032,
47,9,10,0.0,0,1.0052009377360345,-1,0.0,-1.0,1,244500.04,5,14.0,SAT,configuration crashed; runnning SBS,1.031,
48,9,7,0.0,0,1.0052009377360345,-1,0.0,-1.0,1,241473.38,5,14.0,SAT,configuration crashed; runnning SBS,1.007,
49,9,1,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,120075.88,5,14.0,SAT,configuration crashed; runnning SBS,0.981,
50,9,9,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,121439.73,5,14.0,SAT,configuration crashed; runnning SBS,0.982,
51,9,3,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,120588.64,5,14.0,SAT,configuration crashed; runnning SBS,1.006,
52,9,2,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,120270.59,5,14.0,SAT,configuration crashed; runnning SBS,1.006,
53,9,8,1.0,0,1.0143005832761527,-1,1.0,-1.0,1,2571.31,5,15.0,SAT,configuration crashed; runnning SBS,1.056,
54,10,10,0.0,0,1.0026010390102864,-1,0.0,-1.0,1,244500.04,5,15.0,SAT,configuration crashed; runnning SBS,1.006,
55,10,5,0.0,0,1.0052009377360345,-1,0.0,-1.0,1,120324.28,5,15.0,SAT,configuration crashed; runnning SBS,0.981,
