Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,1.0,0,1800.0,-1,1.0,-1.0,1,122903.000714,0,1.0,SAT,everything ok,1.697,
2,1,3,1.0,0,1800.0,-1,1.0,-1.0,1,218317.671533,1,2.0,SAT,everything ok,1.388,
3,2,3,1.0,0,2.302600525665283,-1,1.0,-1.0,1,3652128.26938,1,3.0,SAT,configuration crashed; runnning SBS,1.259,
4,2,5,1.0,0,2.303900475028157,-1,1.0,-1.0,1,2181009.55842,1,4.0,SAT,configuration crashed; runnning SBS,1.267,
5,1,9,1.0,0,1800.0,-1,1.0,-1.0,1,111126.386207,1,5.0,SAT,everything ok,1.462,
6,3,3,4.0,0,2.302600525665283,-1,4.0,-1.0,1,3652128.26938,1,9.0,SAT,configuration crashed; runnning SBS,4.703,
7,1,6,1.0,0,1800.0,-1,1.0,-1.0,1,158478.743019,2,10.0,SAT,everything ok,1.463,
8,4,9,0.0,0,2.302600525665283,-1,0.0,-1.0,1,364048.435218,2,10.0,SAT,everything ok,0.767,
9,4,3,0.0,0,4.905200487348438,-1,0.0,-1.0,1,365212.826938,2,10.0,SAT,everything ok,0.68,
10,4,5,0.0,0,4.905200487348438,-1,0.0,-1.0,1,218100.955842,2,10.0,SAT,everything ok,0.655,
11,4,6,0.0,0,6.206501013013721,-1,0.0,-1.0,1,315479.801671,2,10.0,SAT,everything ok,0.782,
12,4,8,0.0,0,1800.0,-1,0.0,-1.0,1,269632.031043,2,10.0,SAT,everything ok,0.68,
13,1,8,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,10.0,TIMEOUT,,0.0,
14,3,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,10.0,TIMEOUT,,0.0,
15,4,4,0.0,0,1800.0,-1,0.0,-1.0,1,315457.161911,3,10.0,SAT,everything ok,0.656,
16,1,4,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,10.0,TIMEOUT,,0.0,
17,5,8,0.0,0,1.0026010390102864,-1,0.0,-1.0,1,163667.38628,3,10.0,SAT,everything ok,0.758,
18,5,5,0.0,0,1.0052009377360345,-1,0.0,-1.0,1,65909.412697,3,10.0,SAT,everything ok,0.781,
19,5,6,0.0,0,1.0052009377360345,-1,0.0,-1.0,1,157319.611852,3,10.0,SAT,everything ok,0.781,
20,5,3,0.0,0,1.0091007858246566,-1,0.0,-1.0,1,262764.743633,3,10.0,SAT,everything ok,0.856,
21,5,9,0.0,0,1.0091007858246566,-1,0.0,-1.0,1,160855.598502,3,10.0,SAT,everything ok,0.855,
22,5,4,0.0,0,1.0091007858246566,-1,0.0,-1.0,1,70056.362119,3,10.0,SAT,everything ok,0.856,
23,4,1,0.0,0,1800.0,-1,0.0,-1.0,1,358077.028926,3,10.0,SAT,everything ok,0.655,
24,1,1,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,10.0,TIMEOUT,,0.0,
25,6,3,3.0,0,1.0026010390102864,-1,3.0,-1.0,1,3652128.26938,3,13.0,SAT,configuration crashed; runnning SBS,3.946,
26,4,2,0.0,0,1800.0,-1,0.0,-1.0,1,413176.817086,4,13.0,SAT,everything ok,0.68,
27,1,2,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,13.0,TIMEOUT,,0.0,
28,7,4,0.0,0,1.0026010390102864,-1,0.0,-1.0,1,268282.402391,4,13.0,SAT,everything ok,0.786,
29,7,5,0.0,0,1.0052009377360345,-1,0.0,-1.0,1,260657.71103,4,13.0,SAT,everything ok,0.763,
30,7,8,0.0,0,1.0052009377360345,-1,0.0,-1.0,1,213118.483559,4,13.0,SAT,everything ok,0.757,
31,7,1,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,362227.959755,4,13.0,SAT,everything ok,0.881,
32,7,3,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,362605.942517,4,13.0,SAT,everything ok,0.758,
33,7,2,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,162448.239905,4,13.0,SAT,everything ok,0.766,
34,7,6,0.0,0,1.0104007351875306,-1,0.0,-1.0,1,211849.095061,4,13.0,SAT,everything ok,0.868,
35,7,9,0.0,0,1.0117006845504046,-1,0.0,-1.0,1,263111.246307,4,13.0,SAT,everything ok,0.757,
36,4,10,0.0,0,1800.0,-1,0.0,-1.0,1,355001.559577,4,13.0,SAT,everything ok,0.67,
37,1,10,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,13.0,TIMEOUT,,0.0,
38,8,1,0.0,0,1.0026010390102864,-1,0.0,-1.0,1,209079.592576,4,13.0,SAT,everything ok,0.756,
