Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,30.0,0,1800.0,-1,30.0,-1.0,1,1.248647869000261E9,0,30.0,SAT,everything ok,30.659,
2,1,3,30.0,0,1800.0,-1,30.0,-1.0,1,1.085860953000226E9,1,60.0,SAT,everything ok,30.779,
3,2,3,48.0,0,40.002600893723965,-1,48.0,-1.0,1,4.0936710510000694E10,1,108.0,SAT,configuration crashed; runnning SBS,48.148,
4,1,9,32.0,0,1800.0,-1,32.0,-1.0,1,2.11788578300025E9,1,140.0,SAT,everything ok,32.173,
5,3,3,65.0,0,40.002600893723965,-1,65.0,-1.0,1,4.0936710510000694E10,1,205.0,SAT,configuration crashed; runnning SBS,65.942,
6,1,6,32.0,0,1800.0,-1,32.0,-1.0,1,2.1501107500032E8,2,237.0,SAT,everything ok,32.903,
7,4,9,23.0,0,42.60260095668137,-1,23.0,-1.0,1,4.197361575000076E9,2,260.0,SAT,everything ok,23.77,
8,4,3,23.0,0,90.70520038564803,-1,23.0,-1.0,1,4.093671051000069E9,2,283.0,SAT,everything ok,23.483,
9,4,5,24.0,0,60.80520020646155,-1,24.0,-1.0,1,4.118410742000038E9,2,307.0,SAT,everything ok,24.323,
10,4,6,22.0,0,71.20650040765405,-1,22.0,-1.0,1,3.243999205E9,2,329.0,SAT,everything ok,22.499,
11,4,8,22.0,0,1800.0,-1,22.0,-1.0,1,2.150166395000029E9,2,351.0,SAT,everything ok,22.399,
12,1,8,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,351.0,TIMEOUT,,0.0,
13,3,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,351.0,TIMEOUT,,0.0,
14,4,4,23.0,0,1800.0,-1,23.0,-1.0,1,6.275018370000046E9,3,374.0,SAT,everything ok,23.289,
15,1,4,44.0,0,17.90910065022409,-1,44.0,-1.0,1,6.275018370000046E10,3,418.0,SAT,configuration crashed; runnning SBS,44.842,
16,5,8,48.0,0,29.602600641894345,-1,48.0,-1.0,1,2.150166395000029E10,3,466.0,SAT,configuration crashed; runnning SBS,48.379,
17,4,1,25.0,0,1800.0,-1,25.0,-1.0,1,6.16608926700005E9,3,491.0,SAT,everything ok,25.615,
18,1,1,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,491.0,TIMEOUT,,0.0,
19,6,6,53.0,0,29.602600641894345,-1,53.0,-1.0,1,3.243999205E10,3,544.0,SAT,configuration crashed; runnning SBS,53.992,
20,4,2,27.0,0,1800.0,-1,27.0,-1.0,1,7.169645746000023E9,4,571.0,SAT,everything ok,27.137,
21,1,2,54.0,0,28.311700800779466,-1,54.0,-1.0,1,7.169645746000023E10,4,625.0,SAT,configuration crashed; runnning SBS,54.239,
22,7,4,22.0,0,30.90260012854934,-1,22.0,-1.0,1,6.275018370000046E9,4,647.0,SAT,everything ok,22.683,
23,7,5,23.0,0,62.10520078276396,-1,23.0,-1.0,1,4.118410742000038E9,4,670.0,SAT,everything ok,23.978,
24,7,6,23.0,0,32.205200603577495,-1,23.0,-1.0,1,3.243999205E9,4,693.0,SAT,everything ok,23.391,
25,7,2,25.0,0,128.4104005511582,-1,25.0,-1.0,1,7.169645746000023E9,4,718.0,SAT,everything ok,25.287,
26,7,3,25.0,0,95.91040030901434,-1,25.0,-1.0,1,4.093671051000069E9,4,743.0,SAT,everything ok,25.162,
27,7,1,25.0,0,63.41040006687045,-1,25.0,-1.0,1,6.16608926700005E9,4,768.0,SAT,everything ok,25.259,
28,7,8,27.0,0,30.910400914373998,-1,27.0,-1.0,1,2.150166395000029E9,4,795.0,SAT,everything ok,27.307,
29,4,10,22.0,0,1800.0,-1,22.0,-1.0,1,4.093031662000116E9,4,817.0,SAT,everything ok,22.895,
30,1,10,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,817.0,TIMEOUT,,0.0,
31,8,1,35.0,0,33.502600191506744,-1,35.0,-1.0,1,4.27568276700036E9,4,852.0,SAT,everything ok,35.215,
32,4,7,23.0,0,1800.0,-1,23.0,-1.0,1,3.187347195000097E9,5,875.0,SAT,everything ok,23.878,
33,1,7,46.0,0,16.61430096102059,-1,46.0,-1.0,1,3.187347195000097E10,5,921.0,SAT,configuration crashed; runnning SBS,46.964,
34,9,3,23.0,0,30.90260012854934,-1,23.0,-1.0,1,4.093671051000069E9,5,944.0,SAT,everything ok,24.005,
35,9,10,22.0,0,59.50520071980655,-1,22.0,-1.0,1,4.093031662000116E9,5,966.0,SAT,everything ok,22.288,
36,9,9,27.0,0,30.90520002727509,-1,27.0,-1.0,1,4.197361575000076E9,5,993.0,SAT,everything ok,27.851,
