Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,18.0,0,1800.0,-1,18.0,-1.0,1,934.19,0,18.0,SAT,everything ok,18.747,
2,1,3,20.0,0,1800.0,-1,20.0,-1.0,1,2770.22,1,38.0,SAT,everything ok,20.125,
3,2,3,7.0,0,27.00260057893694,-1,7.0,-1.0,1,568022.5001,1,45.0,SAT,configuration crashed; runnning SBS,7.343,
4,2,5,7.0,0,41.303900329741836,-1,7.0,-1.0,1,766332.3,1,52.0,SAT,configuration crashed; runnning SBS,7.235,
5,2,9,6.0,0,1800.0,-1,6.0,-1.0,1,601230.8,1,58.0,SAT,configuration crashed; runnning SBS,6.879,
6,1,9,0.0,1,0.0,-1,0.0,0.0,0,0.0,1,58.0,TIMEOUT,,0.0,
7,3,3,15.0,0,10.102600714537502,-1,15.0,-1.0,1,568022.5001,1,73.0,SAT,configuration crashed; runnning SBS,15.685,
8,2,6,7.0,0,1800.0,-1,7.0,-1.0,1,763356.8,2,80.0,SAT,configuration crashed; runnning SBS,7.296,
9,1,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,80.0,TIMEOUT,,0.0,
10,4,9,3.0,0,8.802600138235093,-1,3.0,-1.0,1,60123.08,2,83.0,SAT,everything ok,4.009,
11,4,3,3.0,0,23.105200928050284,-1,3.0,-1.0,1,56802.25001,2,86.0,SAT,everything ok,3.809,
12,4,5,3.0,0,19.205200288790465,-1,3.0,-1.0,1,76633.23,2,89.0,SAT,everything ok,3.751,
13,4,6,3.0,0,24.406500364068155,-1,3.0,-1.0,1,76335.68,2,92.0,SAT,everything ok,4.02,
14,4,8,3.0,0,1800.0,-1,3.0,-1.0,1,57020.36,2,95.0,SAT,everything ok,3.784,
15,1,8,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,95.0,TIMEOUT,,0.0,
16,3,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,95.0,TIMEOUT,,0.0,
17,4,4,3.0,0,1800.0,-1,3.0,-1.0,1,57168.93,3,98.0,SAT,everything ok,3.535,
18,1,4,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,98.0,TIMEOUT,,0.0,
19,5,8,7.0,0,4.90260058862269,-1,7.0,-1.0,1,570203.6,3,105.0,SAT,configuration crashed; runnning SBS,7.47,
20,4,1,3.0,0,1800.0,-1,3.0,-1.0,1,20420.12,3,108.0,SAT,everything ok,3.691,
21,1,1,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,108.0,TIMEOUT,,0.0,
22,6,6,9.0,0,4.90260058862269,-1,9.0,-1.0,1,763356.8,3,117.0,SAT,configuration crashed; runnning SBS,9.476,
23,4,2,3.0,0,1800.0,-1,3.0,-1.0,1,92153.61,4,120.0,SAT,everything ok,3.998,
24,1,2,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,120.0,TIMEOUT,,0.0,
25,7,4,3.0,0,4.90260058862269,-1,3.0,-1.0,1,57168.93,4,123.0,SAT,everything ok,3.621,
26,7,5,3.0,0,8.80520003696084,-1,3.0,-1.0,1,76633.23,4,126.0,SAT,everything ok,3.444,
