Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,1.0,0,1800.0,-1,1.0,-1.0,1,117390.989347,0,1.0,SAT,everything ok,1.572,
2,1,3,1.0,0,1800.0,-1,1.0,-1.0,1,145044.714721,1,2.0,SAT,everything ok,1.561,
3,2,3,1.0,0,2.302600525665283,-1,1.0,-1.0,1,365615.1124,1,3.0,SAT,configuration crashed; runnning SBS,1.535,
4,2,5,1.0,0,2.303900475028157,-1,1.0,-1.0,1,2605649.88874,1,4.0,SAT,configuration crashed; runnning SBS,1.509,
5,1,9,1.0,0,1800.0,-1,1.0,-1.0,1,183214.510511,1,5.0,SAT,everything ok,1.563,
6,3,3,4.0,0,2.302600525665283,-1,4.0,-1.0,1,365615.1124,1,9.0,SAT,configuration crashed; runnning SBS,4.826,
7,1,6,1.0,0,1800.0,-1,1.0,-1.0,1,111901.114417,2,10.0,SAT,everything ok,1.683,
8,4,9,0.0,0,2.302600525665283,-1,0.0,-1.0,1,221685.992486,2,10.0,SAT,everything ok,0.857,
9,4,3,0.0,0,4.905200487348438,-1,0.0,-1.0,1,36561.51124,2,10.0,SAT,everything ok,0.755,
10,4,5,0.0,0,4.905200487348438,-1,0.0,-1.0,1,260564.988874,2,10.0,SAT,everything ok,0.756,
11,4,6,0.0,0,6.206501013013721,-1,0.0,-1.0,1,256664.104832,2,10.0,SAT,everything ok,0.758,
12,4,8,0.0,0,1800.0,-1,0.0,-1.0,1,110888.068504,2,10.0,SAT,everything ok,0.756,
13,1,8,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,10.0,TIMEOUT,,0.0,
14,3,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,10.0,TIMEOUT,,0.0,
