Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,1.0,0,1800.0,-1,1.0,-1.0,1,74296.0,0,1.0,SAT,everything ok,1.534,
2,1,3,1.0,0,1800.0,-1,1.0,-1.0,1,6946.0,1,2.0,SAT,everything ok,1.736,
3,2,3,2.0,0,2.302600525665283,-1,2.0,-1.0,1,804190.0,1,4.0,SAT,configuration crashed; runnning SBS,2.456,
4,1,9,1.0,0,1800.0,-1,1.0,-1.0,1,4069.0,1,5.0,SAT,everything ok,1.536,
5,3,3,5.0,0,2.302600525665283,-1,5.0,-1.0,1,804190.0,1,10.0,SAT,configuration crashed; runnning SBS,5.391,
6,1,6,1.0,0,1800.0,-1,1.0,-1.0,1,3916.0,2,11.0,SAT,everything ok,1.519,
7,4,9,1.0,0,2.302600525665283,-1,1.0,-1.0,1,75973.0,2,12.0,SAT,everything ok,1.336,
8,4,3,1.0,0,3.6052010006934405,-1,1.0,-1.0,1,80419.0,2,13.0,SAT,everything ok,1.2,
9,4,5,1.0,0,2.305200424391031,-1,1.0,-1.0,1,74643.0,2,14.0,SAT,everything ok,1.411,
10,4,6,1.0,0,2.306500373753905,-1,1.0,-1.0,1,80948.0,2,15.0,SAT,everything ok,1.199,
11,1,8,1.0,0,1800.0,-1,1.0,-1.0,1,73187.0,2,16.0,SAT,everything ok,1.906,
12,3,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,16.0,TIMEOUT,,0.0,
