Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,19.0,0,1800.0,-1,19.0,-1.0,1,55320.67007,0,19.0,SAT,everything ok,19.184,
2,1,3,18.0,0,1800.0,-1,18.0,-1.0,1,36870.76009,1,37.0,SAT,everything ok,18.568,
3,2,3,6.0,0,24.402600515979533,-1,6.0,-1.0,1,913642.0,1,43.0,SAT,configuration crashed; runnning SBS,6.81,
4,2,5,6.0,0,41.303900329741836,-1,6.0,-1.0,1,2357695.5,1,49.0,SAT,configuration crashed; runnning SBS,6.759,
5,2,9,6.0,0,1800.0,-1,6.0,-1.0,1,2346815.3,1,55.0,SAT,configuration crashed; runnning SBS,6.788,
6,1,9,0.0,1,0.0,-1,0.0,0.0,0,0.0,1,55.0,TIMEOUT,,0.0,
7,3,3,13.0,0,8.802600138235093,-1,13.0,-1.0,1,913642.0,1,68.0,SAT,configuration crashed; runnning SBS,13.497,
8,2,6,6.0,0,1800.0,-1,6.0,-1.0,1,2013223.6,2,74.0,SAT,configuration crashed; runnning SBS,6.889,
9,1,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,74.0,TIMEOUT,,0.0,
10,4,9,3.0,0,8.802600138235093,-1,3.0,-1.0,1,234681.53,2,77.0,SAT,everything ok,3.47,
11,4,3,3.0,0,20.505200865092874,-1,3.0,-1.0,1,91364.2,2,80.0,SAT,everything ok,3.372,
12,4,5,3.0,0,16.60520022583306,-1,3.0,-1.0,1,235769.55,2,83.0,SAT,everything ok,3.468,
13,4,6,3.0,0,20.506500814455748,-1,3.0,-1.0,1,201322.36,2,86.0,SAT,everything ok,3.398,
14,4,8,3.0,0,1800.0,-1,3.0,-1.0,1,199393.32001,2,89.0,SAT,everything ok,3.372,
15,1,8,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,89.0,TIMEOUT,,0.0,
16,3,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,89.0,TIMEOUT,,0.0,
