Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,49.0,0,1800.0,-1,49.0,-1.0,1,90189.26004,0,49.0,SAT,everything ok,49.796,
2,1,3,49.0,0,1800.0,-1,49.0,-1.0,1,943.59005,1,98.0,SAT,everything ok,49.282,
3,2,3,16.0,0,64.70260094699562,-1,16.0,-1.0,1,728687.5,1,114.0,SAT,configuration crashed; runnning SBS,16.73,
4,2,5,15.0,0,107.60390030068459,-1,15.0,-1.0,1,1451850.4,1,129.0,SAT,configuration crashed; runnning SBS,15.734,
5,2,9,17.0,0,1800.0,-1,17.0,-1.0,1,1632662.7,1,146.0,SAT,configuration crashed; runnning SBS,17.089,
6,1,9,0.0,1,0.0,-1,0.0,0.0,0,0.0,1,146.0,TIMEOUT,,0.0,
7,3,3,30.0,0,21.802600453022126,-1,30.0,-1.0,1,728687.5,1,176.0,SAT,configuration crashed; runnning SBS,30.985,
8,2,6,16.0,0,1800.0,-1,16.0,-1.0,1,1274573.0,2,192.0,SAT,configuration crashed; runnning SBS,16.769,
9,1,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,192.0,TIMEOUT,,0.0,
10,4,9,7.0,0,23.102601029324536,-1,7.0,-1.0,1,163266.27,2,199.0,SAT,everything ok,7.189,
11,4,3,7.0,0,54.30520059389174,-1,7.0,-1.0,1,72868.75,2,206.0,SAT,everything ok,7.992,
12,4,5,7.0,0,45.205200918364525,-1,7.0,-1.0,1,145185.04,2,213.0,SAT,everything ok,7.85,
13,4,6,7.0,0,56.90650060621202,-1,7.0,-1.0,1,127457.3,2,220.0,SAT,everything ok,7.972,
14,4,8,8.0,0,1800.0,-1,8.0,-1.0,1,146060.09,2,228.0,SAT,everything ok,8.842,
15,1,8,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,228.0,TIMEOUT,,0.0,
16,3,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,228.0,TIMEOUT,,0.0,
17,4,4,7.0,0,1800.0,-1,7.0,-1.0,1,144404.30001,3,235.0,SAT,everything ok,8.056,
18,1,4,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,235.0,TIMEOUT,,0.0,
19,5,8,8.0,0,11.402600201192499,-1,8.0,-1.0,1,146060.09,3,243.0,SAT,everything ok,8.146,
20,5,5,8.0,0,19.205200288790465,-1,8.0,-1.0,1,145185.04,3,251.0,SAT,everything ok,8.347,
21,5,6,10.0,0,8.80520003696084,-1,10.0,-1.0,1,127457.3,3,261.0,SAT,everything ok,10.248,
22,4,1,8.0,0,1800.0,-1,8.0,-1.0,1,146124.49,3,269.0,SAT,everything ok,8.068,
23,1,1,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,269.0,TIMEOUT,,0.0,
24,6,3,20.0,0,10.102600714537502,-1,20.0,-1.0,1,728687.5,3,289.0,SAT,configuration crashed; runnning SBS,20.087,
25,4,2,7.0,0,1800.0,-1,7.0,-1.0,1,90465.24,4,296.0,SAT,everything ok,7.92,
26,1,2,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,296.0,TIMEOUT,,0.0,
27,7,3,14.0,0,10.102600714537502,-1,14.0,-1.0,1,728687.5,4,310.0,SAT,configuration crashed; runnning SBS,14.818,
28,4,10,8.0,0,1800.0,-1,8.0,-1.0,1,253043.18,4,318.0,SAT,everything ok,8.94,
29,1,10,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,318.0,TIMEOUT,,0.0,
30,8,9,21.0,0,10.102600714537502,-1,21.0,-1.0,1,1632662.7,4,339.0,SAT,configuration crashed; runnning SBS,21.166,
31,4,7,7.0,0,1800.0,-1,7.0,-1.0,1,145477.29,5,346.0,SAT,everything ok,7.71,
32,1,7,0.0,1,0.0,-1,0.0,0.0,0,0.0,5,346.0,TIMEOUT,,0.0,
33,9,6,16.0,0,10.102600714537502,-1,16.0,-1.0,1,1274573.0,5,362.0,SAT,configuration crashed; runnning SBS,16.791,
34,10,3,19.0,0,10.102600714537502,-1,19.0,-1.0,1,728687.5,5,381.0,SAT,configuration crashed; runnning SBS,19.291,
35,11,8,7.0,0,11.402600201192499,-1,7.0,-1.0,1,146060.09,6,388.0,SAT,everything ok,7.414,
36,11,1,7.0,0,21.805200351747875,-1,7.0,-1.0,1,146124.49,6,395.0,SAT,everything ok,7.396,
37,11,9,8.0,0,12.705200676220656,-1,8.0,-1.0,1,163266.27,6,403.0,SAT,everything ok,8.136,
38,11,4,8.0,0,38.7104000135988,-1,8.0,-1.0,1,144404.30001,6,411.0,SAT,everything ok,8.444,
39,11,7,7.0,0,28.310400851416592,-1,7.0,-1.0,1,145477.29,6,418.0,SAT,everything ok,8.04,
40,11,2,8.0,0,19.21040008624196,-1,8.0,-1.0,1,90465.24,6,426.0,SAT,everything ok,8.237,
41,11,5,10.0,0,8.81040092405975,-1,10.0,-1.0,1,145185.04,6,436.0,SAT,everything ok,10.233,
42,12,8,7.0,0,11.402600201192499,-1,7.0,-1.0,1,146060.09,6,443.0,SAT,everything ok,7.322,
43,12,3,7.0,0,20.505200865092874,-1,7.0,-1.0,1,72868.75,6,450.0,SAT,everything ok,7.37,
44,12,5,7.0,0,11.405200099918247,-1,7.0,-1.0,1,145185.04,6,457.0,SAT,everything ok,7.116,
45,12,2,8.0,0,38.7104000135988,-1,8.0,-1.0,1,90465.24,6,465.0,SAT,everything ok,8.321,
46,12,6,7.0,0,28.310400851416592,-1,7.0,-1.0,1,127457.3,6,472.0,SAT,everything ok,7.511,
47,12,9,7.0,0,19.21040008624196,-1,7.0,-1.0,1,163266.27,6,479.0,SAT,everything ok,7.243,
48,12,4,7.0,0,10.110400410714746,-1,7.0,-1.0,1,144404.30001,6,486.0,SAT,everything ok,7.297,
49,12,10,6.0,0,30.91430076246262,-1,6.0,-1.0,1,253043.18,6,492.0,SAT,everything ok,6.884,
50,12,1,7.0,0,23.114300573590402,-1,7.0,-1.0,1,146124.49,6,499.0,SAT,everything ok,7.891,
51,12,7,7.0,0,14.014300898063183,-1,7.0,-1.0,1,145477.29,6,506.0,SAT,everything ok,7.486,
52,13,5,7.0,0,10.102600714537502,-1,7.0,-1.0,1,145185.04,7,513.0,SAT,everything ok,7.711,
53,13,7,6.0,0,19.205200288790465,-1,6.0,-1.0,1,145477.29,7,519.0,SAT,everything ok,6.909,
54,13,3,7.0,0,11.405200099918247,-1,7.0,-1.0,1,72868.75,7,526.0,SAT,everything ok,7.881,
55,13,10,7.0,0,38.7104000135988,-1,7.0,-1.0,1,253043.18,7,533.0,SAT,everything ok,8.0,
56,13,8,7.0,0,29.61040033807159,-1,7.0,-1.0,1,146060.09,7,540.0,SAT,everything ok,7.715,
57,13,1,7.0,0,20.51040066254437,-1,7.0,-1.0,1,146124.49,7,547.0,SAT,everything ok,7.299,
58,13,2,8.0,0,11.410400987017155,-1,8.0,-1.0,1,90465.24,7,555.0,SAT,everything ok,8.266,
59,13,4,7.0,0,28.314300699505214,-1,7.0,-1.0,1,144404.30001,7,562.0,SAT,everything ok,7.384,
60,13,6,8.0,0,19.214301023977995,-1,8.0,-1.0,1,127457.3,7,570.0,SAT,everything ok,8.598,
61,13,9,10.0,0,8.814300772148371,-1,10.0,-1.0,1,163266.27,7,580.0,SAT,everything ok,10.324,
62,14,4,16.0,0,10.102600714537502,-1,16.0,-1.0,1,1444043.0001,7,596.0,SAT,configuration crashed; runnning SBS,16.441,
63,15,5,7.0,0,10.102600714537502,-1,7.0,-1.0,1,145185.04,8,603.0,SAT,everything ok,7.647,
64,15,1,7.0,0,19.205200288790465,-1,7.0,-1.0,1,146124.49,8,610.0,SAT,everything ok,7.618,
65,15,4,8.0,0,10.10520061326325,-1,8.0,-1.0,1,144404.30001,8,618.0,SAT,everything ok,8.353,
66,16,4,7.0,0,10.102600714537502,-1,7.0,-1.0,1,144404.30001,8,625.0,SAT,everything ok,7.964,
67,16,2,7.0,0,20.505200865092874,-1,7.0,-1.0,1,90465.24,8,632.0,SAT,everything ok,7.833,
68,16,8,8.0,0,11.405200099918247,-1,8.0,-1.0,1,146060.09,8,640.0,SAT,everything ok,8.297,
69,16,9,6.0,0,36.11040104028881,-1,6.0,-1.0,1,163266.27,8,646.0,SAT,everything ok,6.926,
70,16,6,8.0,0,28.310400851416592,-1,8.0,-1.0,1,127457.3,8,654.0,SAT,everything ok,8.363,
71,16,10,8.0,0,17.910400599586964,-1,8.0,-1.0,1,253043.18,8,662.0,SAT,everything ok,8.263,
72,16,3,9.0,0,7.51040034775734,-1,9.0,-1.0,1,72868.75,8,671.0,SAT,everything ok,9.24,
73,17,9,6.0,0,10.102600714537502,-1,6.0,-1.0,1,163266.27,9,677.0,SAT,everything ok,7.004,
74,17,7,6.0,0,20.505200865092874,-1,6.0,-1.0,1,145477.29,9,683.0,SAT,everything ok,7.069,
75,17,6,7.0,0,12.705200676220656,-1,7.0,-1.0,1,127457.3,9,690.0,SAT,everything ok,7.165,
76,17,5,7.0,0,38.7104000135988,-1,7.0,-1.0,1,145185.04,9,697.0,SAT,everything ok,7.767,
77,17,8,7.0,0,29.61040033807159,-1,7.0,-1.0,1,146060.09,9,704.0,SAT,everything ok,7.616,
78,17,10,8.0,0,20.51040066254437,-1,8.0,-1.0,1,253043.18,9,712.0,SAT,everything ok,8.134,
79,17,1,7.0,0,10.110400410714746,-1,7.0,-1.0,1,146124.49,9,719.0,SAT,everything ok,7.818,
80,17,2,7.0,0,29.61430018616021,-1,7.0,-1.0,1,90465.24,9,726.0,SAT,everything ok,7.693,
81,17,4,7.0,0,20.514300510632992,-1,7.0,-1.0,1,144404.30001,9,733.0,SAT,everything ok,8.017,
82,17,3,8.0,0,11.414300835105777,-1,8.0,-1.0,1,72868.75,9,741.0,SAT,everything ok,8.442,
83,18,3,19.0,0,10.102600714537502,-1,19.0,-1.0,1,728687.5,9,760.0,SAT,configuration crashed; runnning SBS,19.513,
84,19,3,14.0,0,10.102600714537502,-1,14.0,-1.0,1,728687.5,10,774.0,SAT,configuration crashed; runnning SBS,14.289,
85,20,9,19.0,0,10.102600714537502,-1,19.0,-1.0,1,1632662.7,10,793.0,SAT,configuration crashed; runnning SBS,19.645,
86,21,8,7.0,0,10.102600714537502,-1,7.0,-1.0,1,146060.09,11,800.0,SAT,everything ok,7.764,
87,21,4,7.0,0,19.205200288790465,-1,7.0,-1.0,1,144404.30001,11,807.0,SAT,everything ok,7.755,
88,21,6,8.0,0,10.10520061326325,-1,8.0,-1.0,1,127457.3,11,815.0,SAT,everything ok,8.208,
89,22,3,7.0,0,10.102600714537502,-1,7.0,-1.0,1,72868.75,11,822.0,SAT,everything ok,7.773,
90,22,6,7.0,0,17.905200802135468,-1,7.0,-1.0,1,127457.3,11,829.0,SAT,everything ok,7.25,
91,22,10,8.0,0,8.80520003696084,-1,8.0,-1.0,1,253043.18,11,837.0,SAT,everything ok,8.161,
92,23,8,8.0,0,10.102600714537502,-1,8.0,-1.0,1,146060.09,12,845.0,SAT,everything ok,8.128,
93,24,2,7.0,0,11.402600201192499,-1,7.0,-1.0,1,90465.24,12,852.0,SAT,everything ok,7.116,
94,24,8,7.0,0,20.505200865092874,-1,7.0,-1.0,1,146060.09,12,859.0,SAT,everything ok,7.216,
95,24,5,7.0,0,11.405200099918247,-1,7.0,-1.0,1,145185.04,12,866.0,SAT,everything ok,7.866,
96,24,7,8.0,0,37.4104005269438,-1,8.0,-1.0,1,145477.29,12,874.0,SAT,everything ok,8.276,
97,24,9,7.0,0,27.010400275114183,-1,7.0,-1.0,1,163266.27,12,881.0,SAT,everything ok,7.979,
98,24,10,7.0,0,17.910400599586964,-1,7.0,-1.0,1,253043.18,12,888.0,SAT,everything ok,7.519,
99,24,1,7.0,0,8.81040092405975,-1,7.0,-1.0,1,146124.49,12,895.0,SAT,everything ok,7.85,
100,25,8,7.0,0,10.102600714537502,-1,7.0,-1.0,1,146060.09,13,902.0,SAT,everything ok,7.913,
101,25,7,7.0,0,19.205200288790465,-1,7.0,-1.0,1,145477.29,13,909.0,SAT,everything ok,7.395,
102,25,5,7.0,0,10.10520061326325,-1,7.0,-1.0,1,145185.04,13,916.0,SAT,everything ok,7.612,
103,25,1,8.0,0,37.4104005269438,-1,8.0,-1.0,1,146124.49,13,924.0,SAT,everything ok,8.25,
104,25,4,7.0,0,27.010400275114183,-1,7.0,-1.0,1,144404.30001,13,931.0,SAT,everything ok,7.944,
105,25,6,10.0,0,17.910400599586964,-1,10.0,-1.0,1,127457.3,13,941.0,SAT,everything ok,10.187,
106,25,9,14.0,0,4.910400284799934,-1,14.0,-1.0,1,1632662.7,13,955.0,SAT,configuration crashed; runnning SBS,14.239,
107,26,10,18.0,0,8.802600138235093,-1,18.0,-1.0,1,2530431.8,13,973.0,SAT,configuration crashed; runnning SBS,18.241,
108,27,4,13.0,0,10.102600714537502,-1,13.0,-1.0,1,1444043.0001,14,986.0,SAT,configuration crashed; runnning SBS,13.931,
109,28,6,15.0,0,10.102600714537502,-1,15.0,-1.0,1,1274573.0,14,1001.0,SAT,configuration crashed; runnning SBS,15.244,
110,29,3,6.0,0,10.102600714537502,-1,6.0,-1.0,1,72868.75,15,1007.0,SAT,everything ok,6.489,
111,29,1,7.0,0,20.505200865092874,-1,7.0,-1.0,1,146124.49,15,1014.0,SAT,everything ok,7.504,
112,29,8,7.0,0,11.405200099918247,-1,7.0,-1.0,1,146060.09,15,1021.0,SAT,everything ok,7.295,
113,29,4,8.0,0,37.4104005269438,-1,8.0,-1.0,1,144404.30001,15,1029.0,SAT,everything ok,8.507,
114,29,9,7.0,0,27.010400275114183,-1,7.0,-1.0,1,163266.27,15,1036.0,SAT,everything ok,7.459,
115,29,10,7.0,0,17.910400599586964,-1,7.0,-1.0,1,253043.18,15,1043.0,SAT,everything ok,7.711,
116,29,7,7.0,0,8.81040092405975,-1,7.0,-1.0,1,145477.29,15,1050.0,SAT,everything ok,7.227,
117,30,5,20.0,0,10.102600714537502,-1,20.0,-1.0,1,1451850.4,15,1070.0,SAT,configuration crashed; runnning SBS,20.093,
118,31,5,7.0,0,10.102600714537502,-1,7.0,-1.0,1,145185.04,16,1077.0,SAT,everything ok,7.364,
119,31,9,7.0,0,19.205200288790465,-1,7.0,-1.0,1,163266.27,16,1084.0,SAT,everything ok,7.634,
120,31,1,8.0,0,10.10520061326325,-1,8.0,-1.0,1,146124.49,16,1092.0,SAT,everything ok,8.521,
121,32,3,15.0,0,10.102600714537502,-1,15.0,-1.0,1,728687.5,16,1107.0,SAT,configuration crashed; runnning SBS,15.504,
122,33,9,6.0,0,10.102600714537502,-1,6.0,-1.0,1,163266.27,17,1113.0,SAT,everything ok,7.059,
123,33,10,7.0,0,19.205200288790465,-1,7.0,-1.0,1,253043.18,17,1120.0,SAT,everything ok,7.978,
124,33,7,7.0,0,10.10520061326325,-1,7.0,-1.0,1,145477.29,17,1127.0,SAT,everything ok,7.109,
125,33,1,7.0,0,37.4104005269438,-1,7.0,-1.0,1,146124.49,17,1134.0,SAT,everything ok,7.956,
126,33,3,8.0,0,28.310400851416592,-1,8.0,-1.0,1,72868.75,17,1142.0,SAT,everything ok,8.362,
127,33,4,7.0,0,17.910400599586964,-1,7.0,-1.0,1,144404.30001,17,1149.0,SAT,everything ok,7.398,
128,33,6,8.0,0,8.81040092405975,-1,8.0,-1.0,1,127457.3,17,1157.0,SAT,everything ok,8.295,
129,34,10,15.0,0,8.802600138235093,-1,15.0,-1.0,1,2530431.8,17,1172.0,SAT,configuration crashed; runnning SBS,15.554,
130,35,7,7.0,0,10.102600714537502,-1,7.0,-1.0,1,145477.29,18,1179.0,SAT,everything ok,7.985,
131,35,6,6.0,0,19.205200288790465,-1,6.0,-1.0,1,127457.3,18,1185.0,SAT,everything ok,6.898,
132,35,1,7.0,0,11.405200099918247,-1,7.0,-1.0,1,146124.49,18,1192.0,SAT,everything ok,7.662,
133,35,5,7.0,0,38.7104000135988,-1,7.0,-1.0,1,145185.04,18,1199.0,SAT,everything ok,7.211,
134,35,10,7.0,0,29.61040033807159,-1,7.0,-1.0,1,253043.18,18,1206.0,SAT,everything ok,7.607,
135,35,2,7.0,0,20.51040066254437,-1,7.0,-1.0,1,90465.24,18,1213.0,SAT,everything ok,7.176,
136,35,3,8.0,0,11.410400987017155,-1,8.0,-1.0,1,72868.75,18,1221.0,SAT,everything ok,8.915,
137,35,8,7.0,0,28.314300699505214,-1,7.0,-1.0,1,146060.09,18,1228.0,SAT,everything ok,7.52,
138,35,4,6.0,0,19.214301023977995,-1,6.0,-1.0,1,144404.30001,18,1234.0,SAT,everything ok,6.91,
139,35,9,7.0,0,11.414300835105777,-1,7.0,-1.0,1,163266.27,18,1241.0,SAT,everything ok,7.377,
140,36,6,16.0,0,8.802600138235093,-1,16.0,-1.0,1,1274573.0,18,1257.0,SAT,configuration crashed; runnning SBS,16.914,
141,37,3,7.0,0,11.402600201192499,-1,7.0,-1.0,1,72868.75,19,1264.0,SAT,everything ok,7.632,
142,37,5,7.0,0,20.505200865092874,-1,7.0,-1.0,1,145185.04,19,1271.0,SAT,everything ok,7.709,
143,37,8,8.0,0,11.405200099918247,-1,8.0,-1.0,1,146060.09,19,1279.0,SAT,everything ok,8.102,
144,37,7,8.0,0,36.11040104028881,-1,8.0,-1.0,1,145477.29,19,1287.0,SAT,everything ok,8.201,
145,37,9,8.0,0,25.710400788459186,-1,8.0,-1.0,1,163266.27,19,1295.0,SAT,everything ok,8.715,
146,37,10,7.0,0,15.310400536629558,-1,7.0,-1.0,1,253043.18,19,1302.0,SAT,everything ok,7.823,
147,37,6,8.0,0,6.210400861102343,-1,8.0,-1.0,1,127457.3,19,1310.0,SAT,everything ok,8.214,
148,38,2,15.0,0,10.102600714537502,-1,15.0,-1.0,1,904652.4,19,1325.0,SAT,configuration crashed; runnning SBS,15.784,
149,39,4,7.0,0,8.802600138235093,-1,7.0,-1.0,1,144404.30001,20,1332.0,SAT,everything ok,7.46,
150,40,2,14.0,0,10.102600714537502,-1,14.0,-1.0,1,904652.4,20,1346.0,SAT,configuration crashed; runnning SBS,14.724,
151,41,3,6.0,0,11.402600201192499,-1,6.0,-1.0,1,72868.75,21,1352.0,SAT,everything ok,6.919,
152,41,5,6.0,0,21.805200351747875,-1,6.0,-1.0,1,145185.04,21,1358.0,SAT,everything ok,6.975,
153,41,9,8.0,0,14.005200162875653,-1,8.0,-1.0,1,163266.27,21,1366.0,SAT,everything ok,8.465,
154,41,6,6.0,0,37.4104005269438,-1,6.0,-1.0,1,127457.3,21,1372.0,SAT,everything ok,6.914,
155,41,2,6.0,0,29.61040033807159,-1,6.0,-1.0,1,90465.24,21,1378.0,SAT,everything ok,6.994,
156,41,8,8.0,0,21.81040014919937,-1,8.0,-1.0,1,146060.09,21,1386.0,SAT,everything ok,8.735,
157,41,4,7.0,0,11.410400987017155,-1,7.0,-1.0,1,144404.30001,21,1393.0,SAT,everything ok,7.853,
158,41,1,8.0,0,29.61430018616021,-1,8.0,-1.0,1,146124.49,21,1401.0,SAT,everything ok,8.677,
159,41,10,6.0,0,19.214301023977995,-1,6.0,-1.0,1,253043.18,21,1407.0,SAT,everything ok,6.895,
160,41,7,6.0,0,11.414300835105777,-1,6.0,-1.0,1,145477.29,21,1413.0,SAT,everything ok,6.789,
161,42,5,15.0,0,8.802600138235093,-1,15.0,-1.0,1,1451850.4,21,1428.0,SAT,configuration crashed; runnning SBS,15.709,
162,43,3,7.0,0,8.802600138235093,-1,7.0,-1.0,1,72868.75,22,1435.0,SAT,everything ok,7.476,
163,44,3,15.0,0,8.802600138235093,-1,15.0,-1.0,1,728687.5,22,1450.0,SAT,configuration crashed; runnning SBS,15.917,
164,43,8,8.0,0,10.103900663900376,-1,8.0,-1.0,1,146060.09,23,1458.0,SAT,everything ok,8.252,
165,45,6,14.0,0,8.802600138235093,-1,14.0,-1.0,1,1274573.0,23,1472.0,SAT,configuration crashed; runnning SBS,14.077,
166,46,6,8.0,0,8.802600138235093,-1,8.0,-1.0,1,127457.3,24,1480.0,SAT,everything ok,8.115,
167,47,9,15.0,0,11.402600201192499,-1,15.0,-1.0,1,1632662.7,24,1495.0,SAT,configuration crashed; runnning SBS,15.169,
168,48,9,8.0,0,11.402600201192499,-1,8.0,-1.0,1,163266.27,25,1503.0,SAT,everything ok,8.323,
169,48,5,8.0,0,19.205200288790465,-1,8.0,-1.0,1,145185.04,25,1511.0,SAT,everything ok,8.828,
170,48,8,7.0,0,8.80520003696084,-1,7.0,-1.0,1,146060.09,25,1518.0,SAT,everything ok,7.75,
171,49,9,15.0,0,11.402600201192499,-1,15.0,-1.0,1,1632662.7,25,1533.0,SAT,configuration crashed; runnning SBS,15.214,
172,50,6,7.0,0,8.802600138235093,-1,7.0,-1.0,1,127457.3,26,1540.0,SAT,everything ok,8.02,
173,51,2,17.0,0,8.802600138235093,-1,17.0,-1.0,1,904652.4,26,1557.0,SAT,configuration crashed; runnning SBS,17.653,
174,52,5,6.0,0,8.802600138235093,-1,6.0,-1.0,1,145185.04,27,1563.0,SAT,everything ok,6.933,
175,52,1,7.0,0,19.205200288790465,-1,7.0,-1.0,1,146124.49,27,1570.0,SAT,everything ok,8.0,
176,52,7,7.0,0,10.10520061326325,-1,7.0,-1.0,1,145477.29,27,1577.0,SAT,everything ok,7.963,
177,52,9,6.0,0,37.4104005269438,-1,6.0,-1.0,1,163266.27,27,1583.0,SAT,everything ok,6.861,
178,52,10,8.0,0,29.61040033807159,-1,8.0,-1.0,1,253043.18,27,1591.0,SAT,everything ok,8.149,
179,52,2,7.0,0,19.21040008624196,-1,7.0,-1.0,1,90465.24,27,1598.0,SAT,everything ok,7.576,
180,52,8,7.0,0,10.110400410714746,-1,7.0,-1.0,1,146060.09,27,1605.0,SAT,everything ok,7.149,
181,52,4,8.0,0,25.714300636547808,-1,8.0,-1.0,1,144404.30001,27,1613.0,SAT,everything ok,8.43,
182,52,3,8.0,0,15.31430038471818,-1,8.0,-1.0,1,72868.75,27,1621.0,SAT,everything ok,8.207,
183,52,6,13.0,0,4.914300132888556,-1,13.0,-1.0,1,1274573.0,27,1634.0,SAT,configuration crashed; runnning SBS,13.246,
184,53,7,17.0,0,8.802600138235093,-1,17.0,-1.0,1,1454772.9,27,1651.0,SAT,configuration crashed; runnning SBS,17.418,
185,54,3,7.0,0,8.802600138235093,-1,7.0,-1.0,1,72868.75,28,1658.0,SAT,everything ok,7.718,
186,55,8,16.0,0,11.402600201192499,-1,16.0,-1.0,1,1460600.9,28,1674.0,SAT,configuration crashed; runnning SBS,16.811,
187,56,3,8.0,0,8.802600138235093,-1,8.0,-1.0,1,72868.75,29,1682.0,SAT,everything ok,8.232,
188,57,1,15.0,0,11.402600201192499,-1,15.0,-1.0,1,1461244.9,29,1697.0,SAT,configuration crashed; runnning SBS,15.767,
189,54,7,9.0,0,7.50390060094297,-1,9.0,-1.0,1,145477.29,30,1706.0,SAT,everything ok,9.248,
190,58,3,16.0,0,8.802600138235093,-1,16.0,-1.0,1,728687.5,30,1722.0,SAT,configuration crashed; runnning SBS,16.621,
191,59,9,8.0,0,11.402600201192499,-1,8.0,-1.0,1,163266.27,31,1730.0,SAT,everything ok,8.079,
192,59,2,7.0,0,16.60520022583306,-1,7.0,-1.0,1,90465.24,31,1737.0,SAT,everything ok,7.851,
193,59,5,7.0,0,7.505200550305844,-1,7.0,-1.0,1,145185.04,31,1744.0,SAT,everything ok,7.211,
194,60,6,15.0,0,8.802600138235093,-1,15.0,-1.0,1,1274573.0,31,1759.0,SAT,configuration crashed; runnning SBS,15.551,
