Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,75.0,0,1800.0,-1,75.0,-1.0,1,63403.25001,0,75.0,SAT,everything ok,75.264,
2,1,3,74.0,0,1800.0,-1,74.0,-1.0,1,206440.68002,1,149.0,SAT,everything ok,74.897,
3,2,3,45.0,0,97.20260009949209,-1,45.0,-1.0,1,3765489.3003,1,194.0,SAT,configuration crashed; runnning SBS,45.095,
4,2,5,44.0,0,136.20390099321605,-1,44.0,-1.0,1,3554370.2001,1,238.0,SAT,configuration crashed; runnning SBS,44.86,
5,2,9,43.0,0,1800.0,-1,43.0,-1.0,1,4089945.0002,1,281.0,SAT,configuration crashed; runnning SBS,43.355,
6,1,9,0.0,1,0.0,-1,0.0,0.0,0,0.0,1,281.0,TIMEOUT,,0.0,
7,3,3,83.0,0,59.502600821080804,-1,83.0,-1.0,1,3765489.3003,1,364.0,SAT,configuration crashed; runnning SBS,83.296,
8,2,6,45.0,0,1800.0,-1,45.0,-1.0,1,4468540.0004,2,409.0,SAT,configuration crashed; runnning SBS,45.373,
9,1,6,61.0,0,37.40650067885518,-1,61.0,-1.0,1,4468540.0004,2,470.0,SAT,configuration crashed; runnning SBS,61.576,
10,4,9,22.0,0,56.9026007581234,-1,22.0,-1.0,1,408994.50002,2,492.0,SAT,everything ok,22.273,
11,4,3,22.0,0,144.00520004180373,-1,22.0,-1.0,1,376548.93003,2,514.0,SAT,everything ok,22.476,
12,4,5,22.0,0,115.40520043891968,-1,22.0,-1.0,1,355437.02001,2,536.0,SAT,everything ok,22.781,
13,4,6,22.0,0,145.30650056746902,-1,22.0,-1.0,1,446854.00004,2,558.0,SAT,everything ok,22.378,
14,4,8,21.0,0,1800.0,-1,21.0,-1.0,1,472108.84001,2,579.0,SAT,everything ok,21.864,
15,1,8,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,579.0,TIMEOUT,,0.0,
16,3,6,0.0,1,0.0,-1,0.0,0.0,0,0.0,2,579.0,TIMEOUT,,0.0,
17,4,4,22.0,0,1800.0,-1,22.0,-1.0,1,508424.93004,3,601.0,SAT,everything ok,22.259,
18,1,4,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,601.0,TIMEOUT,,0.0,
19,5,8,21.0,0,28.302600065591935,-1,21.0,-1.0,1,472108.84001,3,622.0,SAT,everything ok,22.008,
20,5,5,21.0,0,58.20520014350414,-1,21.0,-1.0,1,355437.02001,3,643.0,SAT,everything ok,21.455,
21,5,6,22.0,0,30.90520002727509,-1,22.0,-1.0,1,446854.00004,3,665.0,SAT,everything ok,22.555,
22,5,3,21.0,0,88.10910017077924,-1,21.0,-1.0,1,376548.93003,3,686.0,SAT,everything ok,21.772,
23,5,9,22.0,0,60.80910005455017,-1,22.0,-1.0,1,408994.50002,3,708.0,SAT,everything ok,22.289,
24,5,4,22.0,0,32.20910045166612,-1,22.0,-1.0,1,508424.93004,3,730.0,SAT,everything ok,22.46,
25,5,1,22.0,0,1800.0,-1,22.0,-1.0,1,435015.72004,3,752.0,SAT,everything ok,22.293,
26,1,1,0.0,1,0.0,-1,0.0,0.0,0,0.0,3,752.0,TIMEOUT,,0.0,
27,6,3,52.0,0,28.302600065591935,-1,52.0,-1.0,1,3765489.3003,3,804.0,SAT,configuration crashed; runnning SBS,52.42,
28,5,2,22.0,0,1800.0,-1,22.0,-1.0,1,447578.98003,4,826.0,SAT,everything ok,22.478,
29,1,2,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,826.0,TIMEOUT,,0.0,
30,7,4,44.0,0,29.602600641894345,-1,44.0,-1.0,1,5084249.3004,4,870.0,SAT,configuration crashed; runnning SBS,44.986,
31,5,10,22.0,0,1800.0,-1,22.0,-1.0,1,405678.52003,4,892.0,SAT,everything ok,22.071,
32,1,10,0.0,1,0.0,-1,0.0,0.0,0,0.0,4,892.0,TIMEOUT,,0.0,
33,8,8,52.0,0,28.302600065591935,-1,52.0,-1.0,1,4721088.4001,4,944.0,SAT,configuration crashed; runnning SBS,52.379,
34,5,7,22.0,0,1800.0,-1,22.0,-1.0,1,411222.41004,5,966.0,SAT,everything ok,22.276,
35,1,7,34.0,0,10.114300258803368,-1,34.0,-1.0,1,4112224.1004,5,1000.0,SAT,configuration crashed; runnning SBS,34.029,
36,9,5,45.0,0,28.302600065591935,-1,45.0,-1.0,1,3554370.2001,5,1045.0,SAT,configuration crashed; runnning SBS,45.576,
37,10,6,53.0,0,29.602600641894345,-1,53.0,-1.0,1,4468540.0004,5,1098.0,SAT,configuration crashed; runnning SBS,53.272,
38,11,2,22.0,0,29.602600641894345,-1,22.0,-1.0,1,447578.98003,6,1120.0,SAT,everything ok,22.583,
39,11,9,22.0,0,58.20520014350414,-1,22.0,-1.0,1,408994.50002,6,1142.0,SAT,everything ok,22.16,
40,11,4,22.0,0,29.605200540620093,-1,22.0,-1.0,1,508424.93004,6,1164.0,SAT,everything ok,22.094,
41,11,7,21.0,0,115.41040023637117,-1,21.0,-1.0,1,411222.41004,6,1185.0,SAT,everything ok,21.781,
42,11,1,22.0,0,88.11040012014212,-1,22.0,-1.0,1,435015.72004,6,1207.0,SAT,everything ok,22.352,
43,11,10,22.0,0,59.51040051725805,-1,22.0,-1.0,1,405678.52003,6,1229.0,SAT,everything ok,22.676,
44,11,6,21.0,0,30.910400914373998,-1,21.0,-1.0,1,446854.00004,6,1250.0,SAT,everything ok,21.96,
45,11,3,22.0,0,85.51430099492075,-1,22.0,-1.0,1,376548.93003,6,1272.0,SAT,everything ok,22.78,
46,11,8,22.0,0,56.914300302389265,-1,22.0,-1.0,1,472108.84001,6,1294.0,SAT,everything ok,22.378,
47,11,5,22.0,0,28.314300699505214,-1,22.0,-1.0,1,355437.02001,6,1316.0,SAT,everything ok,22.679,
48,12,8,22.0,0,28.302600065591935,-1,22.0,-1.0,1,472108.84001,6,1338.0,SAT,everything ok,22.193,
49,13,6,44.0,0,29.602600641894345,-1,44.0,-1.0,1,4468540.0004,7,1382.0,SAT,configuration crashed; runnning SBS,44.614,
50,14,3,44.0,0,28.302600065591935,-1,44.0,-1.0,1,3765489.3003,7,1426.0,SAT,configuration crashed; runnning SBS,44.703,
51,15,1,22.0,0,29.602600641894345,-1,22.0,-1.0,1,435015.72004,8,1448.0,SAT,everything ok,22.493,
52,15,8,22.0,0,56.905200656849146,-1,22.0,-1.0,1,472108.84001,8,1470.0,SAT,everything ok,22.263,
53,15,6,21.0,0,28.305201053965096,-1,21.0,-1.0,1,446854.00004,8,1491.0,SAT,everything ok,21.974,
54,15,4,22.0,0,114.11040074971618,-1,22.0,-1.0,1,508424.93004,8,1513.0,SAT,everything ok,22.197,
55,15,9,22.0,0,85.51040005718471,-1,22.0,-1.0,1,408994.50002,8,1535.0,SAT,everything ok,22.279,
56,15,7,22.0,0,56.91040045430064,-1,22.0,-1.0,1,411222.41004,8,1557.0,SAT,everything ok,22.171,
57,15,3,21.0,0,28.310400851416592,-1,21.0,-1.0,1,376548.93003,8,1578.0,SAT,everything ok,21.979,
58,15,5,22.0,0,85.51430099492075,-1,22.0,-1.0,1,355437.02001,8,1600.0,SAT,everything ok,22.579,
59,15,10,22.0,0,56.914300302389265,-1,22.0,-1.0,1,405678.52003,8,1622.0,SAT,everything ok,22.274,
60,15,2,22.0,0,28.314300699505214,-1,22.0,-1.0,1,447578.98003,8,1644.0,SAT,everything ok,22.395,
61,16,2,22.0,0,29.602600641894345,-1,22.0,-1.0,1,447578.98003,8,1666.0,SAT,everything ok,22.549,
62,16,5,21.0,0,55.60520008054674,-1,21.0,-1.0,1,355437.02001,8,1687.0,SAT,everything ok,21.977,
63,16,3,21.0,0,28.305201053965096,-1,21.0,-1.0,1,376548.93003,8,1708.0,SAT,everything ok,21.961,
64,16,7,22.0,0,114.11040074971618,-1,22.0,-1.0,1,411222.41004,8,1730.0,SAT,everything ok,22.198,
65,16,1,21.0,0,85.51040005718471,-1,21.0,-1.0,1,435015.72004,8,1751.0,SAT,everything ok,21.846,
66,16,4,22.0,0,58.21040103060305,-1,22.0,-1.0,1,508424.93004,8,1773.0,SAT,everything ok,22.356,
67,16,8,22.0,0,29.61040033807159,-1,22.0,-1.0,1,472108.84001,8,1795.0,SAT,everything ok,22.659,
68,16,10,22.0,0,86.81430048157574,-1,22.0,-1.0,1,405678.52003,8,1817.0,SAT,everything ok,22.172,
69,16,9,22.0,0,58.214300878691674,-1,22.0,-1.0,1,408994.50002,8,1839.0,SAT,everything ok,22.508,
70,16,6,21.0,0,29.61430018616021,-1,21.0,-1.0,1,446854.00004,8,1860.0,SAT,everything ok,21.976,
71,17,7,43.0,0,29.602600641894345,-1,43.0,-1.0,1,4112224.1004,9,1903.0,SAT,configuration crashed; runnning SBS,43.81,
72,18,9,53.0,0,29.602600641894345,-1,53.0,-1.0,1,4089945.0002,9,1956.0,SAT,configuration crashed; runnning SBS,53.312,
73,19,9,21.0,0,29.602600641894345,-1,21.0,-1.0,1,408994.50002,10,1977.0,SAT,everything ok,21.596,
74,19,7,22.0,0,58.20520014350414,-1,22.0,-1.0,1,411222.41004,10,1999.0,SAT,everything ok,22.455,
75,19,6,22.0,0,29.605200540620093,-1,22.0,-1.0,1,446854.00004,10,2021.0,SAT,everything ok,22.477,
76,19,5,22.0,0,112.81040017341377,-1,22.0,-1.0,1,355437.02001,10,2043.0,SAT,everything ok,22.185,
77,19,8,22.0,0,84.21040057052971,-1,22.0,-1.0,1,472108.84001,10,2065.0,SAT,everything ok,22.155,
78,19,10,22.0,0,55.610400967645646,-1,22.0,-1.0,1,405678.52003,10,2087.0,SAT,everything ok,22.478,
79,19,1,22.0,0,27.010400275114183,-1,22.0,-1.0,1,435015.72004,10,2109.0,SAT,everything ok,22.487,
80,20,7,53.0,0,29.602600641894345,-1,53.0,-1.0,1,4112224.1004,10,2162.0,SAT,configuration crashed; runnning SBS,53.239,
