Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,9.0,0,1800.0,-1,9.0,-1.0,1,123620.64,0,9.0,SAT,everything ok,9.926,
2,1,3,9.0,0,1800.0,-1,9.0,-1.0,1,126104.22,1,18.0,SAT,everything ok,9.876,
3,2,3,12.0,0,12.702600777494908,-1,12.0,-1.0,1,515675.3,1,30.0,SAT,configuration crashed; runnning SBS,12.764,
4,1,9,9.0,0,1800.0,-1,9.0,-1.0,1,128062.11,1,39.0,SAT,everything ok,9.219,
5,3,3,13.0,0,12.702600777494908,-1,13.0,-1.0,1,515675.3,1,52.0,SAT,configuration crashed; runnning SBS,13.903,
6,1,6,9.0,0,1800.0,-1,9.0,-1.0,1,91209.98,2,61.0,SAT,everything ok,9.353,
7,4,9,11.0,0,12.702600777494908,-1,11.0,-1.0,1,552248.2,2,72.0,SAT,configuration crashed; runnning SBS,12.004,
8,1,8,9.0,0,1800.0,-1,9.0,-1.0,1,231643.34,2,81.0,SAT,everything ok,9.9,
9,3,5,16.0,0,7.50390060094297,-1,16.0,-1.0,1,169695.7,2,97.0,SAT,configuration crashed; runnning SBS,16.088,
10,1,4,10.0,0,1800.0,-1,10.0,-1.0,1,63827.07,3,107.0,SAT,everything ok,10.607,
11,5,5,12.0,0,12.702600777494908,-1,12.0,-1.0,1,169695.7,3,119.0,SAT,configuration crashed; runnning SBS,12.534,
12,1,1,9.0,0,1800.0,-1,9.0,-1.0,1,59193.47,3,128.0,SAT,everything ok,9.205,
13,6,9,20.0,0,12.702600777494908,-1,20.0,-1.0,1,552248.2,3,148.0,SAT,configuration crashed; runnning SBS,20.52,
14,1,2,9.0,0,1800.0,-1,9.0,-1.0,1,128848.59,4,157.0,SAT,everything ok,9.124,
15,7,4,22.0,0,14.002600264149905,-1,22.0,-1.0,1,173729.0,4,179.0,SAT,configuration crashed; runnning SBS,22.217,
16,1,10,10.0,0,1800.0,-1,10.0,-1.0,1,23283.87,4,189.0,SAT,everything ok,10.602,
17,8,4,13.0,0,14.002600264149905,-1,13.0,-1.0,1,136604.72,4,202.0,SAT,everything ok,13.282,
18,1,7,9.0,0,1800.0,-1,9.0,-1.0,1,163166.3,5,211.0,SAT,everything ok,9.9,
19,9,4,13.0,0,14.002600264149905,-1,13.0,-1.0,1,173729.0,5,224.0,SAT,configuration crashed; runnning SBS,13.352,
20,10,1,12.0,0,12.702600777494908,-1,12.0,-1.0,1,169876.7,5,236.0,SAT,configuration crashed; runnning SBS,13.023,
21,11,6,6.0,0,12.702600777494908,-1,6.0,-1.0,1,52918.25,6,242.0,SAT,everything ok,6.652,
22,11,2,6.0,0,28.305201053965096,-1,6.0,-1.0,1,52141.49,6,248.0,SAT,everything ok,6.855,
23,11,9,6.0,0,20.505200865092874,-1,6.0,-1.0,1,55224.82,6,254.0,SAT,everything ok,6.789,
24,11,1,6.0,0,62.110400580215455,-1,6.0,-1.0,1,16987.67,6,260.0,SAT,everything ok,7.028,
25,11,4,6.0,0,54.31040039134324,-1,6.0,-1.0,1,17372.9,6,266.0,SAT,everything ok,6.932,
26,11,10,6.0,0,46.51040020247102,-1,6.0,-1.0,1,19776.72,6,272.0,SAT,everything ok,6.608,
27,11,8,7.0,0,38.7104000135988,-1,7.0,-1.0,1,17795.29,6,279.0,SAT,everything ok,7.438,
28,11,5,7.0,0,64.71430049126148,-1,7.0,-1.0,1,16969.57,6,286.0,SAT,everything ok,7.1,
29,11,7,6.0,0,55.61430081573427,-1,6.0,-1.0,1,18205.4,6,292.0,SAT,everything ok,6.623,
30,11,3,6.0,0,47.81430062686205,-1,6.0,-1.0,1,51567.53,6,298.0,SAT,everything ok,6.709,
31,12,1,7.0,0,8.802600138235093,-1,7.0,-1.0,1,16987.67,6,305.0,SAT,everything ok,7.059,
32,13,9,13.0,0,8.802600138235093,-1,13.0,-1.0,1,552248.2,7,318.0,SAT,configuration crashed; runnning SBS,13.647,
33,14,2,13.0,0,8.802600138235093,-1,13.0,-1.0,1,521414.9,7,331.0,SAT,configuration crashed; runnning SBS,13.382,
34,15,7,16.0,0,8.802600138235093,-1,16.0,-1.0,1,182054.0,8,347.0,SAT,configuration crashed; runnning SBS,16.771,
35,16,1,6.0,0,8.802600138235093,-1,6.0,-1.0,1,16987.67,8,353.0,SAT,everything ok,6.755,
36,16,9,6.0,0,16.60520022583306,-1,6.0,-1.0,1,55224.82,8,359.0,SAT,everything ok,6.802,
37,16,3,6.0,0,8.80520003696084,-1,6.0,-1.0,1,51567.53,8,365.0,SAT,everything ok,7.014,
38,16,7,7.0,0,33.5104009773314,-1,7.0,-1.0,1,18205.4,8,372.0,SAT,everything ok,7.212,
39,16,2,6.0,0,24.410400212156777,-1,6.0,-1.0,1,52141.49,8,378.0,SAT,everything ok,6.654,
40,16,6,6.0,0,16.610400023284555,-1,6.0,-1.0,1,52918.25,8,384.0,SAT,everything ok,6.988,
41,16,5,6.0,0,8.81040092405975,-1,6.0,-1.0,1,16969.57,8,390.0,SAT,everything ok,6.604,
42,16,8,6.0,0,25.714300636547808,-1,6.0,-1.0,1,17795.29,8,396.0,SAT,everything ok,6.906,
43,16,10,7.0,0,17.914300447675586,-1,7.0,-1.0,1,19776.72,8,403.0,SAT,everything ok,7.155,
44,16,4,6.0,0,8.814300772148371,-1,6.0,-1.0,1,17372.9,8,409.0,SAT,everything ok,7.017,
45,17,5,6.0,0,10.102600714537502,-1,6.0,-1.0,1,16969.57,9,415.0,SAT,everything ok,6.923,
46,17,3,6.0,0,17.905200802135468,-1,6.0,-1.0,1,51567.53,9,421.0,SAT,everything ok,7.009,
47,17,1,7.0,0,10.10520061326325,-1,7.0,-1.0,1,16987.67,9,428.0,SAT,everything ok,7.146,
48,17,7,6.0,0,33.5104009773314,-1,6.0,-1.0,1,18205.4,9,434.0,SAT,everything ok,6.75,
49,17,9,6.0,0,25.710400788459186,-1,6.0,-1.0,1,55224.82,9,440.0,SAT,everything ok,7.062,
50,17,8,6.0,0,17.910400599586964,-1,6.0,-1.0,1,17795.29,9,446.0,SAT,everything ok,6.666,
51,17,10,7.0,0,10.110400410714746,-1,7.0,-1.0,1,19776.72,9,453.0,SAT,everything ok,7.731,
52,17,2,6.0,0,24.4143000602454,-1,6.0,-1.0,1,52141.49,9,459.0,SAT,everything ok,6.908,
53,17,6,7.0,0,16.61430096102059,-1,7.0,-1.0,1,52918.25,9,466.0,SAT,everything ok,7.094,
54,17,4,9.0,0,7.514300195845962,-1,9.0,-1.0,1,17372.9,9,475.0,SAT,everything ok,9.2,
55,18,3,17.0,0,8.802600138235093,-1,17.0,-1.0,1,515675.3,9,492.0,SAT,configuration crashed; runnning SBS,17.201,
56,19,1,14.0,0,8.802600138235093,-1,14.0,-1.0,1,169876.7,10,506.0,SAT,configuration crashed; runnning SBS,14.083,
57,20,1,10.0,0,8.802600138235093,-1,10.0,-1.0,1,104379.02,10,516.0,SAT,everything ok,10.228,
58,21,2,7.0,0,8.802600138235093,-1,7.0,-1.0,1,52141.49,11,523.0,SAT,everything ok,7.216,
59,22,1,7.0,0,8.802600138235093,-1,7.0,-1.0,1,16987.67,11,530.0,SAT,everything ok,7.32,
60,23,10,6.0,0,8.802600138235093,-1,6.0,-1.0,1,19776.72,12,536.0,SAT,everything ok,6.72,
61,23,9,6.0,0,16.60520022583306,-1,6.0,-1.0,1,55224.82,12,542.0,SAT,everything ok,6.907,
62,23,6,6.0,0,8.80520003696084,-1,6.0,-1.0,1,52918.25,12,548.0,SAT,everything ok,6.596,
