Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,6.0,0,1800.0,-1,6.0,-1.0,1,131606.81,0,6.0,SAT,everything ok,6.073,
2,1,3,5.0,0,1800.0,-1,5.0,-1.0,1,97441.01,1,11.0,SAT,everything ok,5.864,
3,2,3,7.0,0,7.502600651580096,-1,7.0,-1.0,1,167789.8,1,18.0,SAT,configuration crashed; runnning SBS,7.472,
4,1,9,5.0,0,1800.0,-1,5.0,-1.0,1,129726.61,1,23.0,SAT,everything ok,5.887,
5,3,3,7.0,0,7.502600651580096,-1,7.0,-1.0,1,167789.8,1,30.0,SAT,configuration crashed; runnning SBS,7.998,
6,1,6,5.0,0,1800.0,-1,5.0,-1.0,1,90280.71,2,35.0,SAT,everything ok,5.96,
7,4,9,6.0,0,7.502600651580096,-1,6.0,-1.0,1,535789.3,2,41.0,SAT,configuration crashed; runnning SBS,6.941,
8,1,8,6.0,0,1800.0,-1,6.0,-1.0,1,98729.49,2,47.0,SAT,everything ok,6.18,
9,3,5,7.0,0,6.203900024640561,-1,7.0,-1.0,1,582546.2,2,54.0,SAT,configuration crashed; runnning SBS,7.873,
10,1,4,5.0,0,1800.0,-1,5.0,-1.0,1,125811.33,3,59.0,SAT,everything ok,5.759,
11,5,5,7.0,0,8.802600138235093,-1,7.0,-1.0,1,582546.2,3,66.0,SAT,configuration crashed; runnning SBS,7.189,
12,1,1,5.0,0,1800.0,-1,5.0,-1.0,1,90790.07,3,71.0,SAT,everything ok,5.673,
13,6,9,12.0,0,7.502600651580096,-1,12.0,-1.0,1,535789.3,3,83.0,SAT,configuration crashed; runnning SBS,12.873,
14,1,2,5.0,0,1800.0,-1,5.0,-1.0,1,165929.66,4,88.0,SAT,everything ok,5.586,
15,7,4,3.0,0,7.502600651580096,-1,3.0,-1.0,1,14604.5,4,91.0,SAT,everything ok,3.975,
16,7,3,3.0,0,16.60520022583306,-1,3.0,-1.0,1,16778.98,4,94.0,SAT,everything ok,3.774,
17,7,1,3.0,0,12.705200676220656,-1,3.0,-1.0,1,52041.72,4,97.0,SAT,everything ok,3.871,
18,7,6,3.0,0,37.4104005269438,-1,3.0,-1.0,1,16978.62,4,100.0,SAT,everything ok,3.87,
19,7,8,3.0,0,33.5104009773314,-1,3.0,-1.0,1,52236.03,4,103.0,SAT,everything ok,3.972,
20,7,9,4.0,0,29.61040033807159,-1,4.0,-1.0,1,53578.93,4,107.0,SAT,everything ok,4.176,
21,7,5,3.0,0,24.410400212156777,-1,3.0,-1.0,1,58254.62,4,110.0,SAT,everything ok,3.875,
22,7,2,3.0,0,27.011700224477057,-1,3.0,-1.0,1,14073.72,4,113.0,SAT,everything ok,3.873,
